anchor_data_id,anchor_entity,anchor_wikipedia_url,anchor_entity_type,anchor_question,anchor_answer,anchor_question_type,target_side,method1_pair_entity,method1_pair_data_id,method1_pair_wikipedia_url,method1_pair_type,method1_similarity_basis,method1_composite_layout,method1_query,method1_expected_answer,method2_pair_entity,method2_pair_data_id,method2_pair_wikipedia_url,method2_pair_type,method2_similarity_basis,method2_composite_layout,method2_query,method2_query_with_position,method2_query_without_position,method2_expected_answer,distractor_entity,distractor_wikipedia_url,anchor_image_id,anchor_image_path,method1_pair_image_id,method1_pair_image_path,method2_pair_image_id,method2_pair_image_path,method1_composite_image_path,method2_composite_image_path,method1_image_status,method2_image_status,image_error
infoseek_val_00023253,Phalaenopsis amabilis,https://en.wikipedia.org/wiki/Phalaenopsis_amabilis,plant,What is the basionym of this plant?,Epidendrum amabile,String,left,Trillium chloropetalum,infoseek_val_00052999,https://en.wikipedia.org/wiki/Trillium_chloropetalum,plant,same_type+same_question,Phalaenopsis amabilis(left) + Trillium chloropetalum(right),What is the basionym of the plant on the left?,Epidendrum amabile,Huis Ten Bosch (theme park),infoseek_val_00011825,https://en.wikipedia.org/wiki/Huis_Ten_Bosch_(theme_park),park,different_entity_type+cross_family,Phalaenopsis amabilis(left) + Huis Ten Bosch (theme park)(right),What is the basionym of the plant on the left?,What is the basionym of the plant on the left?,What is the basionym of this plant?,Epidendrum amabile,Huis Ten Bosch (theme park),https://en.wikipedia.org/wiki/Huis_Ten_Bosch_(theme_park),oven_05027511,images/infoseek/val/oven_05027511.JPEG,oven_05044133,images/infoseek/val/oven_05044133.jpg,oven_04955958,images/infoseek/val/oven_04955958.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0010_infoseek_val_00023253__m1__infoseek_val_00052999.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0010_infoseek_val_00023253__m2__infoseek_val_00011825.jpg,saved,saved,
infoseek_val_00028451,Regensburg Cathedral,https://en.wikipedia.org/wiki/Regensburg_Cathedral,building,Which country does this building belong to?,Germany,String,right,Fort Bourtange,infoseek_val_00016946,https://en.wikipedia.org/wiki/Fort_Bourtange,building,same_type+same_question,Regensburg Cathedral(right) + Fort Bourtange(left),Which country does the building on the right belong to?,Germany,Limenitis reducta,infoseek_val_00044675,https://en.wikipedia.org/wiki/Limenitis_reducta,insect,different_entity_type+cross_family,Regensburg Cathedral(right) + Limenitis reducta(left),Which country does the building on the right belong to?,Which country does the building on the right belong to?,Which country does this building belong to?,Germany,Limenitis reducta,https://en.wikipedia.org/wiki/Limenitis_reducta,oven_05014407,images/infoseek/val/oven_05014407.jpg,oven_04957185,images/infoseek/val/oven_04957185.jpg,oven_05035574,images/infoseek/val/oven_05035574.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0011_infoseek_val_00028451__m1__infoseek_val_00016946.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0011_infoseek_val_00028451__m2__infoseek_val_00044675.jpg,saved,saved,
infoseek_val_00065859,Pangrapta decoralis,https://en.wikipedia.org/wiki/Pangrapta_decoralis,insect,What is the closest upper taxonomic rank of this insect?,Erebidae,String,left,Lithacodes fasciola,infoseek_val_00059804,https://en.wikipedia.org/wiki/Lithacodes_fasciola,insect,same_type+same_question,Pangrapta decoralis(left) + Lithacodes fasciola(right),What is the closest upper taxonomic rank of the insect on the left?,Erebidae,Pedra da Boca State Park,infoseek_val_00071476,https://en.wikipedia.org/wiki/Pedra_da_Boca_State_Park,facility,different_entity_type+cross_family,Pangrapta decoralis(left) + Pedra da Boca State Park(right),What is the closest upper taxonomic rank of the insect on the left?,What is the closest upper taxonomic rank of the insect on the left?,What is the closest upper taxonomic rank of this insect?,Erebidae,Pedra da Boca State Park,https://en.wikipedia.org/wiki/Pedra_da_Boca_State_Park,oven_05029110,images/infoseek/val/oven_05029110.jpg,oven_05029195,images/infoseek/val/oven_05029195.jpg,oven_05017359,images/infoseek/val/oven_05017359.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0012_infoseek_val_00065859__m1__infoseek_val_00059804.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0012_infoseek_val_00065859__m2__infoseek_val_00071476.jpg,saved,saved,
infoseek_val_00014454,Hippopotamus,https://en.wikipedia.org/wiki/Hippopotamus,animal,What is the conservation status of this animal according to the IUCN Red List?,Vulnerable,String,right,Eastern diamondback rattlesnake,infoseek_val_00017950,https://en.wikipedia.org/wiki/Eastern_diamondback_rattlesnake,animal,same_type+same_question,Hippopotamus(right) + Eastern diamondback rattlesnake(left),What is the conservation status of the animal on the right according to the IUCN Red List?,Vulnerable,Bass Rock,infoseek_val_00008598,https://en.wikipedia.org/wiki/Bass_Rock,island,different_entity_type+cross_family,Hippopotamus(right) + Bass Rock(left),What is the conservation status of the animal on the right according to the IUCN Red List?,What is the conservation status of the animal on the right according to the IUCN Red List?,What is the conservation status of this animal according to the IUCN Red List?,Vulnerable,Bass Rock,https://en.wikipedia.org/wiki/Bass_Rock,oven_04969995,images/infoseek/val/oven_04969995.JPEG,oven_04976255,images/infoseek/val/oven_04976255.JPEG,oven_04957067,images/infoseek/val/oven_04957067.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0013_infoseek_val_00014454__m1__infoseek_val_00017950.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0013_infoseek_val_00014454__m2__infoseek_val_00008598.jpg,saved,saved,
infoseek_val_00066350,Ailsa Craig,https://en.wikipedia.org/wiki/Ailsa_Craig,island,What county or administrative region is this island associated with historically?,South Ayrshire,String,left,Eilean Donan,infoseek_val_00059346,https://en.wikipedia.org/wiki/Eilean_Donan,island,same_type,Ailsa Craig(left) + Eilean Donan(right),What county or administrative region is the island on the left associated with historically?,South Ayrshire,Goldfish,infoseek_val_00008014,https://en.wikipedia.org/wiki/Goldfish,fish,different_entity_type+cross_family,Ailsa Craig(left) + Goldfish(right),What county or administrative region is the island on the left associated with historically?,What county or administrative region is the island on the left associated with historically?,What county or administrative region is this island associated with historically?,South Ayrshire,Goldfish,https://en.wikipedia.org/wiki/Goldfish,oven_05020001,images/infoseek/val/oven_05020001.jpg,oven_05015960,images/infoseek/val/oven_05015960.jpg,oven_04965098,images/infoseek/val/oven_04965098.JPEG,images/augmented/infoseek/composite_images_full_seed3185/method1/0014_infoseek_val_00066350__m1__infoseek_val_00059346.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0014_infoseek_val_00066350__m2__infoseek_val_00008014.jpg,saved,saved,
infoseek_val_00030103,Long-billed thrasher,https://en.wikipedia.org/wiki/Long-billed_thrasher,bird,What is the closest parent taxonomic rank of this bird?,Toxostoma longirostre,String,right,South Island oystercatcher,infoseek_val_00003100,https://en.wikipedia.org/wiki/South_Island_oystercatcher,bird,same_type+same_question,Long-billed thrasher(right) + South Island oystercatcher(left),What is the closest parent taxonomic rank of the bird on the right?,Toxostoma longirostre,Tsumago-juku,infoseek_val_00045646,https://en.wikipedia.org/wiki/Tsumago-juku,town,different_entity_type+cross_family,Long-billed thrasher(right) + Tsumago-juku(left),What is the closest parent taxonomic rank of the bird on the right?,What is the closest parent taxonomic rank of the bird on the right?,What is the closest parent taxonomic rank of this bird?,Toxostoma longirostre,Tsumago-juku,https://en.wikipedia.org/wiki/Tsumago-juku,oven_05030423,images/infoseek/val/oven_05030423.jpg,oven_04961612,images/infoseek/val/oven_04961612.jpg,oven_05021020,images/infoseek/val/oven_05021020.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0015_infoseek_val_00030103__m1__infoseek_val_00003100.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0015_infoseek_val_00030103__m2__infoseek_val_00045646.jpg,saved,saved,
infoseek_val_00044730,Calyptocarpus vialis,https://en.wikipedia.org/wiki/Calyptocarpus_vialis,plant,What is the closest parent genus of this plant?,Calyptocarpus,String,left,Cucurbita moschata,infoseek_val_00055517,https://en.wikipedia.org/wiki/Cucurbita_moschata,plant,same_type+same_question,Calyptocarpus vialis(left) + Cucurbita moschata(right),What is the closest parent genus of the plant on the left?,Calyptocarpus,Marmashen,infoseek_val_00029563,https://en.wikipedia.org/wiki/Marmashen,village,different_entity_type+cross_family,Calyptocarpus vialis(left) + Marmashen(right),What is the closest parent genus of the plant on the left?,What is the closest parent genus of the plant on the left?,What is the closest parent genus of this plant?,Calyptocarpus,Marmashen,https://en.wikipedia.org/wiki/Marmashen,oven_05038427,images/infoseek/val/oven_05038427.jpg,oven_05067442,images/infoseek/val/oven_05067442.JPEG,oven_05016676,images/infoseek/val/oven_05016676.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0016_infoseek_val_00044730__m1__infoseek_val_00055517.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0016_infoseek_val_00044730__m2__infoseek_val_00029563.jpg,saved,saved,
infoseek_val_00007370,Weimaraner,https://en.wikipedia.org/wiki/Weimaraner,animal,What is the maximum height of a male of this animal in centimetre?,70,Numerical,right,Aurochs,infoseek_val_00018408,https://en.wikipedia.org/wiki/Aurochs,animal,same_type,Weimaraner(right) + Aurochs(left),What is the maximum height of a male of the animal on the right in centimetre?,70,Gingham,infoseek_val_00053996,https://en.wikipedia.org/wiki/Gingham,material,different_entity_type+cross_family,Weimaraner(right) + Gingham(left),What is the maximum height of a male of the animal on the right in centimetre?,What is the maximum height of a male of the animal on the right in centimetre?,What is the maximum height of a male of this animal in centimetre?,70,Gingham,https://en.wikipedia.org/wiki/Gingham,oven_04978372,images/infoseek/val/oven_04978372.JPEG,oven_04981355,images/infoseek/val/oven_04981355.JPEG,oven_05055603,images/infoseek/val/oven_05055603.JPEG,images/augmented/infoseek/composite_images_full_seed3185/method1/0017_infoseek_val_00007370__m1__infoseek_val_00018408.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0017_infoseek_val_00007370__m2__infoseek_val_00053996.jpg,saved,saved,
infoseek_val_00013948,Impala,https://en.wikipedia.org/wiki/Impala,animal,How many months does the gestation of this animal take?,six to seven months,Numerical,left,White-lipped snail,infoseek_val_00053422,https://en.wikipedia.org/wiki/White-lipped_snail,animal,same_type,Impala(left) + White-lipped snail(right),How many months does the gestation of the animal on the left take?,six to seven months,Main building of Moscow State University,infoseek_val_00066462,https://en.wikipedia.org/wiki/Main_building_of_Moscow_State_University,building,different_entity_type+cross_family,Impala(left) + Main building of Moscow State University(right),How many months does the gestation of the animal on the left take?,How many months does the gestation of the animal on the left take?,How many months does the gestation of this animal take?,six to seven months,Main building of Moscow State University,https://en.wikipedia.org/wiki/Main_building_of_Moscow_State_University,oven_04967645,images/infoseek/val/oven_04967645.JPEG,oven_05043820,images/infoseek/val/oven_05043820.jpg,oven_05018073,images/infoseek/val/oven_05018073.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0018_infoseek_val_00013948__m1__infoseek_val_00053422.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0018_infoseek_val_00013948__m2__infoseek_val_00066462.jpg,saved,saved,
infoseek_val_00000174,Rye,https://en.wikipedia.org/wiki/Rye,plant,What is the closest parent genus of this plant?,Secale,String,right,Sedum album,infoseek_val_00035790,https://en.wikipedia.org/wiki/Sedum_album,plant,same_type+same_question,Rye(right) + Sedum album(left),What is the closest parent genus of the plant on the right?,Secale,Mont Aiguille,infoseek_val_00069181,https://en.wikipedia.org/wiki/Mont_Aiguille,mountain,different_entity_type+cross_family,Rye(right) + Mont Aiguille(left),What is the closest parent genus of the plant on the right?,What is the closest parent genus of the plant on the right?,What is the closest parent genus of this plant?,Secale,Mont Aiguille,https://en.wikipedia.org/wiki/Mont_Aiguille,oven_05003178,images/infoseek/val/oven_05003178.JPEG,oven_05034705,images/infoseek/val/oven_05034705.jpg,oven_05023167,images/infoseek/val/oven_05023167.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0019_infoseek_val_00000174__m1__infoseek_val_00035790.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0019_infoseek_val_00000174__m2__infoseek_val_00069181.jpg,saved,saved,
infoseek_val_00009885,Château de Courances,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Courances,building,In which commune or locality does this building locate?,"Courances, Essonne",String,left,Port Hercules,infoseek_val_00069103,https://en.wikipedia.org/wiki/Port_Hercules,building,same_type,Château de Courances(left) + Port Hercules(right),In which commune or locality does the building on the left locate?,"Courances, Essonne",Cryptothecia rubrocincta,infoseek_val_00070044,https://en.wikipedia.org/wiki/Cryptothecia_rubrocincta,fungus,different_entity_type+cross_family,Château de Courances(left) + Cryptothecia rubrocincta(right),In which commune or locality does the building on the left locate?,In which commune or locality does the building on the left locate?,In which commune or locality does this building locate?,"Courances, Essonne",Cryptothecia rubrocincta,https://en.wikipedia.org/wiki/Cryptothecia_rubrocincta,oven_04953051,images/infoseek/val/oven_04953051.jpg,oven_05017870,images/infoseek/val/oven_05017870.jpg,oven_05030627,images/infoseek/val/oven_05030627.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0020_infoseek_val_00009885__m1__infoseek_val_00069103.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0020_infoseek_val_00009885__m2__infoseek_val_00070044.jpg,saved,saved,
infoseek_val_00037855,Australian brushturkey,https://en.wikipedia.org/wiki/Australian_brushturkey,bird,Which country is this bird native to?,Australia,String,right,Australian wood duck,infoseek_val_00018760,https://en.wikipedia.org/wiki/Australian_wood_duck,bird,same_type+same_question,Australian brushturkey(right) + Australian wood duck(left),Which country is the bird on the right native to?,Australia,Fokker 70,infoseek_val_00011618,https://en.wikipedia.org/wiki/Fokker_70,vehicle,different_entity_type+cross_family,Australian brushturkey(right) + Fokker 70(left),Which country is the bird on the right native to?,Which country is the bird on the right native to?,Which country is this bird native to?,Australia,Fokker 70,https://en.wikipedia.org/wiki/Fokker_70,oven_05029935,images/infoseek/val/oven_05029935.JPEG,oven_05038857,images/infoseek/val/oven_05038857.jpg,oven_04950522,images/infoseek/val/oven_04950522.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0021_infoseek_val_00037855__m1__infoseek_val_00018760.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0021_infoseek_val_00037855__m2__infoseek_val_00011618.jpg,saved,saved,
infoseek_val_00038594,Diving duck,https://en.wikipedia.org/wiki/Diving_duck,bird,What is the closest parent taxonomy of this bird?,Anatinae,String,left,Turaco,infoseek_val_00061947,https://en.wikipedia.org/wiki/Turaco,bird,same_type+same_question,Diving duck(left) + Turaco(right),What is the closest parent taxonomy of the bird on the left?,Anatinae,Pont des Invalides,infoseek_val_00032493,https://en.wikipedia.org/wiki/Pont_des_Invalides,bridge,different_entity_type+cross_family,Diving duck(left) + Pont des Invalides(right),What is the closest parent taxonomy of the bird on the left?,What is the closest parent taxonomy of the bird on the left?,What is the closest parent taxonomy of this bird?,Anatinae,Pont des Invalides,https://en.wikipedia.org/wiki/Pont_des_Invalides,oven_05048357,images/infoseek/val/oven_05048357.JPEG,oven_05048246,images/infoseek/val/oven_05048246.JPEG,oven_05014732,images/infoseek/val/oven_05014732.jpg,images/augmented/infoseek/composite_images_full_seed3185/method1/0022_infoseek_val_00038594__m1__infoseek_val_00061947.jpg,images/augmented/infoseek/composite_images_full_seed3185/method2/0022_infoseek_val_00038594__m2__infoseek_val_00032493.jpg,saved,saved,
