data_id,wikipedia_title,wikipedia_url,question_original,dataset_image_ids,question,answer,final_evidence,evidence,evidence_section_id,evidence_section_title,question_type,final_check_tag,final_check_reason,final_model
infoseek_val_00018123,Abel Tasman National Park,https://en.wikipedia.org/wiki/Abel_Tasman_National_Park,What country does this park belong to?,oven_04958861,What country does this park in the image belong to?,New Zealand,"Abel Tasman National Park is a New Zealand national park located between Golden Bay and Tasman Bay / Te Tai-o-Aorere at the north end of the South Island. The park was founded in 1942, largely through the efforts of ornithologist and author Périne Moncrieff to have land reserved for the purpose. Moncrieff served on the ...","Abel Tasman National Park is a New Zealand national park located between Golden Bay and Tasman Bay / Te Tai-o-Aorere at the north end of the South Island. The park was founded in 1942, largely through the efforts of ornithologist and author Périne Moncrieff to have land reserved for the purpose. Moncrieff served on the ...",0|1|2|5|6|7,Abel Tasman National Park|History|Description|See also|References|External links,String,OK,"The final_answer 'New Zealand' is directly supported by the evidence text. The question is properly phrased without leaking the entity name, and the evidence provides a clear, concise supporting snippet.",deepseek-chat
infoseek_val_00037124,Abelia,https://en.wikipedia.org/wiki/Abelia,What is this plant named after?,oven_05068578,What is this plant named after?,Clarke Abel,"The generic name commemorates Clarke Abel, a keen naturalist who accompanied Lord Amherst's unsuccessful embassy to China in 1816 as a surgeon, under the sponsorship of Sir Joseph Banks.","The generic name commemorates Clarke Abel, a keen naturalist who accompanied Lord Amherst's unsuccessful embassy to China in 1816 as a surgeon, under the sponsorship of Sir Joseph Banks.",2|6,Taxonomy|References and external links,String,Needs_revision,Evidence contains multiple sentences; selected the shortest exact phrase that answers the question. Removed the second citation-only sentence to provide cleaner evidence.,deepseek-chat
infoseek_val_00033791,Abronia (plant),https://en.wikipedia.org/wiki/Abronia_(plant),What is the closest upper taxonomy of this plant?,oven_05066555,What is the closest upper taxonomic rank of this plant?,Nyctaginaceae,"Abronia, the sand-verbenas or wild lantanas, is a genus of about 20 species of annual or perennial herbaceous plants in the family Nyctaginaceae. Galloway, LA. 1976. Systematics of the North American desert species of Abronia and Tripterocalyx (Nyctaginaceae). Brittonia 27 (4): 328-347 (1975 publ. 1976)","Abronia, the sand-verbenas or wild lantanas, is a genus of about 20 species of annual or perennial herbaceous plants in the family Nyctaginaceae. Galloway, LA. 1976. Systematics of the North American desert species of Abronia and Tripterocalyx (Nyctaginaceae). Brittonia 27 (4): 328-347 (1975 publ. 1976)",0|4,Abronia (plant)|References,String,OK,"The evidence clearly states that Abronia is 'in the family Nyctaginaceae,' which directly answers the question about the closest upper taxonomic rank. The answer 'Nyctaginaceae' is the shortest exact phrase from the evidence that answers the question. The question does not contain the Wikipedia title, using 'this plant' appropriately. No revisions needed.",deepseek-chat
infoseek_val_00071879,Acacia melanoxylon,https://en.wikipedia.org/wiki/Acacia_melanoxylon,What is the closest parent taxonomy of this plant?,oven_05065947,What is the closest parent genus of this plant?,Acacia,Like most species of Acacia it has phyllodes rather than true leaves.,Like most species of Acacia it has phyllodes rather than true leaves.,0|1|2|6|10|11,Acacia melanoxylon|Description|Taxonomy|Properties|Notes|General references,String,Needs_revision,"The evidence supports that Acacia is the genus, but the original evidence text contained multiple sentences. The shortest exact phrase answering the question is 'most species of Acacia', which implies the genus is Acacia. The answer 'Acacia' is extracted from this phrase. The evidence field has been trimmed to only the relevant supporting snippet.",deepseek-chat
infoseek_val_00060253,Accentor,https://en.wikipedia.org/wiki/Accentor,What is the closest parent taxonomy of this bird?,oven_05047190,What is the closest parent taxonomy of this bird?,family Prunellidae,"The accentors are a genus of birds in the family Prunellidae, which is endemic to the Old World.","The accentors are a genus of birds in the family Prunellidae, which is endemic to the Old World.",0|4,Accentor|Species list,String,Needs_revision,"For String question type, the answer must be the shortest exact phrase from evidence. 'family Prunellidae' is the shortest exact phrase that answers the question, not just 'Prunellidae'. Evidence trimmed to the relevant supporting snippet.",deepseek-chat
infoseek_val_00034593,Acer macrophyllum,https://en.wikipedia.org/wiki/Acer_macrophyllum,Which geographic area is this plant found?,oven_05038542,Which geographic region is this plant found in?,"western North America, mostly near the Pacific coast, from southernmost Alaska to southern California","It is native to western North America, mostly near the Pacific coast, from southernmost Alaska to southern California.","It is native to western North America, mostly near the Pacific coast, from southernmost Alaska to southern California.",0|1|3|4|7|9,Acer macrophyllum|Description|Distribution and habitat|Ecology|Lumber|References,String,Needs_revision,"The original final_answer 'Western Oregon' is too narrow and not the best match for the question about geographic area. The evidence provides a more comprehensive answer: 'western North America, mostly near the Pacific coast, from southernmost Alaska to southern California.' This is the shortest exact phrase that answers the question. The evidence has been trimmed to only the supporting snippet.",deepseek-chat
infoseek_val_00045101,Acer macrophyllum,https://en.wikipedia.org/wiki/Acer_macrophyllum,What is the highest observed lifespan of this plant?,oven_05038517,What is the highest observed lifespan of this plant?,175,"In May 2018 the oldest two Oregon maples in Europe, 175 years old, were removed from Trinity College Dublin (TCD), Ireland.","In May 2018 the oldest two Oregon maples in Europe, 175 years old, were removed from Trinity College Dublin (TCD), Ireland.",1,Description,Numerical,OK,"The evidence text directly states '175 years old' for the oldest Oregon maples, which supports the numerical answer '175' for the highest observed lifespan. The question is properly phrased to ask for a single maximum value, matches the evidence units (years), and does not contain the Wikipedia title.",deepseek-chat
infoseek_val_00043856,Acer pensylvanicum,https://en.wikipedia.org/wiki/Acer_pensylvanicum,What is the closest upper taxonomy of this plant?,oven_05032274,"What is the closest upper taxonomic rank of this plant, such as family, order, or class?",maple,"Acer pensylvanicum, known as the striped maple, moosewood, moose maple or goosefoot maple, is a small North American species of maple.","Acer pensylvanicum, known as the striped maple, moosewood, moose maple or goosefoot maple, is a small North American species of maple.",0|1|4|5,Acer pensylvanicum|Description|References|External links,String,Needs_revision,"The original final_answer 'Acer' is not found in the evidence text. The evidence states it is a 'species of maple', where 'maple' is the genus (Acer is the genus name, but the common name 'maple' appears in evidence). The shortest exact phrase answering the question is 'maple'.",deepseek-chat
infoseek_val_00040360,Acer pseudoplatanus,https://en.wikipedia.org/wiki/Acer_pseudoplatanus,What is the closest parent taxonomy of this plant?,oven_05035476,What is the closest parent taxonomy of this plant?,the maple genus Acer,It is the type species in the maple genus Acer.,It is the type species in the maple genus Acer.,1|3|5|6|7|11|15|16,Taxonomy and etymology|Botany|Ecology|Toxicity|Cultivation|Corstorphine Sycamore Tree|References|External links,String,Needs_revision,The original answer 'Acer' is incomplete as a taxonomy answer; evidence provides 'the maple genus Acer' which is the shortest exact phrase answering the question about parent taxonomy. Evidence trimmed to only the supporting snippet.,deepseek-chat
infoseek_val_00038734,Acharya Jagadish Chandra Bose Indian Botanic Garden,https://en.wikipedia.org/wiki/Acharya_Jagadish_Chandra_Bose_Indian_Botanic_Garden,who/what operates this garden?,oven_05019265,who/what operates this garden?,Botanical Survey of India,"It is under Botanical Survey of India (BSI) of Ministry of Environment and Forests, Government of India. This collection of dried plant specimens eventually became the Central National Herbarium of the Botanical Survey of India, which comprises 2,500,000 items.","It is under Botanical Survey of India (BSI) of Ministry of Environment and Forests, Government of India. This collection of dried plant specimens eventually became the Central National Herbarium of the Botanical Survey of India, which comprises 2,500,000 items.",0|1,Acharya Jagadish Chandra Bose Indian Botanic Garden|History,String,OK,The final_answer 'Botanical Survey of India' is an exact phrase found in the evidence text. The question is a String type and the shortest exact phrase that answers 'who/what operates this garden?' is present. No revision needed as all requirements are satisfied.,deepseek-chat
infoseek_val_00053555,Actaea racemosa,https://en.wikipedia.org/wiki/Actaea_racemosa,What is the closest parent taxonomy of this plant?,oven_05040123,What is the closest parent taxonomy of this plant?,Actaea,Recent data from morphological and gene phylogeny analyses demonstrate that black cohosh is more closely related to species of the genus Actaea than to other Cimicifuga species.,Recent data from morphological and gene phylogeny analyses demonstrate that black cohosh is more closely related to species of the genus Actaea than to other Cimicifuga species.,0|1|8|10,Actaea racemosa|Taxonomy|Phytochemicals and pharmacology|References,String,Needs_revision,"The original evidence snippet was too long and contained extraneous information. The shortest exact phrase that answers the question is 'species of the genus Actaea', but the question asks for the 'closest parent taxonomy' which is the genus name 'Actaea'. The revised evidence focuses on the relevant supporting statement.",deepseek-chat
infoseek_val_00027593,Adiantum jordanii,https://en.wikipedia.org/wiki/Adiantum_jordanii,What is the closest upper taxonomy of this plant?,oven_05035772,What is the genus of this plant?,Adiantum,"Adiantum jordanii is a perennial species of maidenhair fern, in the Vittarioideae subfamily of the Pteridaceae.","Adiantum jordanii is a perennial species of maidenhair fern, in the Vittarioideae subfamily of the Pteridaceae.",0,Adiantum jordanii,String,Needs_revision,"The evidence supports the answer 'Adiantum' as the genus, but the original question asked for 'closest upper taxonomy' while the final question asks for 'genus'. Since the evidence clearly identifies the genus, the final question is appropriate and matches the answer. No revision needed to question/answer/evidence alignment.",deepseek-chat
infoseek_val_00042682,Adventfjorden,https://en.wikipedia.org/wiki/Adventfjorden,Which (geo)physical feature is the place located in or on?,oven_05018182,Which island is the place located on?,Spitsbergen,"Adventfjorden (Advent Bay) is a 7 km long and 4 km wide bay running south-eastwards from the southern side of Isfjorden, on the west coast of Spitsbergen in Svalbard. Conway, W. M. 1906. No Man's Land: A History of Spitsbergen from Its Discovery in 1596 to the Beginning of the Scientific Exploration of the Country. Cam ...","Adventfjorden (Advent Bay) is a 7 km long and 4 km wide bay running south-eastwards from the southern side of Isfjorden, on the west coast of Spitsbergen in Svalbard. Conway, W. M. 1906. No Man's Land: A History of Spitsbergen from Its Discovery in 1596 to the Beginning of the Scientific Exploration of the Country. Cam ...",0|1,Adventfjorden|References,String,OK,"The final_answer 'Spitsbergen' is directly supported by the evidence text. The question is properly phrased without leaking the target entity, and the evidence clearly answers the question. No revisions needed.",deepseek-chat
infoseek_val_00052196,Aegiceras corniculatum,https://en.wikipedia.org/wiki/Aegiceras_corniculatum,What is the closest upper taxonomy of this plant?,oven_05069393,What is the closest upper taxonomic rank of this plant?,Primulaceae,"Aegiceras corniculatum, commonly known as black mangrove, river mangrove, goat's horn mangrove, or khalsi, is a species of shrub or tree mangrove in the primrose family, Primulaceae, with a distribution in coastal and estuarine areas ranging from India through South East Asia to southern China, New Guinea and Australia.","Aegiceras corniculatum, commonly known as black mangrove, river mangrove, goat's horn mangrove, or khalsi, is a species of shrub or tree mangrove in the primrose family, Primulaceae, with a distribution in coastal and estuarine areas ranging from India through South East Asia to southern China, New Guinea and Australia.",0,Aegiceras corniculatum,String,Needs_revision,"The evidence states the plant is 'in the primrose family, Primulaceae.' This is the closest upper taxonomic rank (family). The original final_answer 'Aegiceras' is the genus, which is a lower taxonomic rank than family, not the 'closest upper' as asked.",deepseek-chat
infoseek_val_00045033,Aeshna constricta,https://en.wikipedia.org/wiki/Aeshna_constricta,"What is the conservation status of this insect? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)",oven_05037407,What is the conservation status of this insect according to the International Union for Conservation of Nature?,Least Concern,"The IUCN conservation status of Aeshna constricta is ""LC"", least concern, with no immediate threat to the species' survival.","The IUCN conservation status of Aeshna constricta is ""LC"", least concern, with no immediate threat to the species' survival.",0,Aeshna constricta,String,OK,All requirements satisfied: final_answer 'Least Concern' is the shortest exact phrase found in evidence; final_question properly references IUCN without leaking entity name; evidence supports answer; no conflicts or revisions needed.,deepseek-chat
infoseek_val_00003179,Affenpinscher,https://en.wikipedia.org/wiki/Affenpinscher,What is the minimum height of this animal in centimetre?,oven_04979491,What is the minimum height at the withers for this animal in centimetres?,23,An Affenpinscher generally weighs three to six kilograms (7–13 lb) and stands 23 to 30 centimetres (9 to 12 in) tall at the withers.,An Affenpinscher generally weighs three to six kilograms (7–13 lb) and stands 23 to 30 centimetres (9 to 12 in) tall at the withers.,3|8,Appearance|References,Numerical,Needs_revision,"The evidence provides a height range of 23-30 cm. The question asks for minimum height, which is 23 cm, not 25 cm. The second evidence snippet (25-30 cm) appears to be a conflicting or more specific range, but the first snippet clearly states the general range with 23 cm as the minimum. I selected the first snippet as best supporting evidence and corrected the answer to match.",deepseek-chat
infoseek_val_00011199,African elephant,https://en.wikipedia.org/wiki/African_elephant,What is the closest upper taxonomy of this animal?,oven_04982035,What is the immediate higher taxonomic rank of this animal?,family Elephantidae,Loxodonta is one of two extant genera of the family Elephantidae.,Loxodonta is one of two extant genera of the family Elephantidae.,0|1|2|3|6|14|16|18|20,African elephant|Taxonomy|Extinct African elephants|Phylogeny|Tusks and molars|Reproduction|Conservation|See also|References,String,Needs_revision,"The evidence supports 'family Elephantidae' as the immediate higher taxonomic rank, not just 'Elephantidae'. The answer must be an exact phrase from evidence, and 'family Elephantidae' is the shortest exact phrase that answers the question. The evidence was trimmed to only the relevant supporting snippet.",deepseek-chat
infoseek_val_00019234,African pied wagtail,https://en.wikipedia.org/wiki/African_pied_wagtail,What is the closest upper taxonomy of this bird?,oven_05030083,What is the closest upper taxonomic rank of this bird?,family Motacillidae,"The African pied wagtail, or African wagtail, (Motacilla aguimp) is a species of bird in the family Motacillidae.","The African pied wagtail, or African wagtail, (Motacilla aguimp) is a species of bird in the family Motacillidae.",0|5|6|7,African pied wagtail|Etymology|Taxonomy and subspecies|References,String,Needs_revision,"The original final_answer 'Motacilla' is the genus, not the 'closest upper taxonomy/rank' as asked. The evidence clearly states the immediate higher taxonomic rank is 'family Motacillidae'. This is the shortest exact phrase answering the question. The question wording is appropriate and does not leak the entity.",deepseek-chat
infoseek_val_00009066,African wild dog,https://en.wikipedia.org/wiki/African_wild_dog,What is the closest parent taxonomy of this animal?,oven_04962820,What is the closest parent taxonomic rank above this animal?,genus Lycaon,"It is the only extant member of the genus Lycaon, which is distinguished from Canis by dentition highly specialised for a hypercarnivorous diet, and by a lack of dewclaws.","It is the only extant member of the genus Lycaon, which is distinguished from Canis by dentition highly specialised for a hypercarnivorous diet, and by a lack of dewclaws.",0|1|3|4|31|36,African wild dog|Naming|Taxonomy|Evolution|Documentary|External links,String,Needs_revision,"The evidence supports 'genus Lycaon' as the closest parent taxonomic rank, not just 'Lycaon'. The answer must be the shortest exact phrase from evidence that answers the question. The evidence snippet was trimmed to only the relevant supporting sentence.",deepseek-chat
infoseek_val_00053745,Agapia Monastery,https://en.wikipedia.org/wiki/Agapia_Monastery,What is the location of this place?,oven_05012896,What is the commune where this place is located?,Agapia,"The Agapia Monastery (Romanian: Mănăstirea Agapia) is a Romanian Orthodox nunnery located 9 km west of Târgu Neamț, in the commune of Agapia, Neamț County.","The Agapia Monastery (Romanian: Mănăstirea Agapia) is a Romanian Orthodox nunnery located 9 km west of Târgu Neamț, in the commune of Agapia, Neamț County.",0|1|2,Agapia Monastery|References|External links,String,Needs_revision,"The evidence contains multiple sentences separated by '|' characters, which appears to be a formatting error. The answer 'Agapia' is supported by the first sentence, which contains the exact phrase 'in the commune of Agapia'. The subsequent text ('Agapia Monastery|360° panoramic images from the Agapia Monastery') does not provide additional relevant evidence and appears to be extraneous content. The evidence field has been revised to contain only the supporting sentence.",deepseek-chat
infoseek_val_00031043,Agha Bozorg Mosque,https://en.wikipedia.org/wiki/Agha_Bozorg_Mosque,What is the location of this building?,oven_05017587,What city is this building located in?,Kashan,"Agha Bozorg mosque (Persian: مسجد آقا بزرگ Masjed-e Āghā Bozorg) is a historical mosque in Kashan, Iran. The mosque and theological school (madrasah) is located in the center of the city. The mosque has been described as ""the finest Islamic complex in Kashan and one of the best of the mid-19th century"".","Agha Bozorg mosque (Persian: مسجد آقا بزرگ Masjed-e Āghā Bozorg) is a historical mosque in Kashan, Iran. The mosque and theological school (madrasah) is located in the center of the city. The mosque has been described as ""the finest Islamic complex in Kashan and one of the best of the mid-19th century"".",0|1,Agha Bozorg Mosque|Specifications,String,OK,"The final_answer 'Kashan' is directly supported by the evidence text. The question_type is String, and 'Kashan' is the shortest exact phrase that answers the question. The final_question does not leak the target entity (uses 'this building'). No revisions needed.",deepseek-chat
infoseek_val_00005281,Aghjots Vank,https://en.wikipedia.org/wiki/Aghjots_Vank,Which city or region does this building locate in?,oven_04958971,In which province is this building located?,Ararat Province,"Aghjots Vank ... is a 13th-century monastery situated along a tributary of the Azat River Valley within the Khosrov State Reserve located half a mile walk from the hamlet of Mets Gilanlar, and near the villages of Goght and Garni (approximately 3–4 miles) in the Ararat Province of Armenia. Armeniapedia: Aghjots Vank","Aghjots Vank ... is a 13th-century monastery situated along a tributary of the Azat River Valley within the Khosrov State Reserve located half a mile walk from the hamlet of Mets Gilanlar, and near the villages of Goght and Garni (approximately 3–4 miles) in the Ararat Province of Armenia. Armeniapedia: Aghjots Vank",0|7,Aghjots Vank|External links,String,OK,"The final_answer 'Ararat Province' is an exact phrase found in the evidence text. The question_type is String, and the shortest exact phrase answering the question is used. The final_question does not leak the target entity (uses 'this building'), matches the answer, and is supported by the evidence. No revisions are needed.",deepseek-chat
infoseek_val_00054388,Western cottonmouth,https://en.wikipedia.org/wiki/Agkistrodon_piscivorus_leucostoma,What is the closest upper taxonomy of this animal?,oven_05035424,What is the closest upper taxonomic rank of this animal?,cottonmouth (Agkistrodon piscivorus),The western cottonmouth (Agkistrodon piscivorus leucostoma) was once classified as a subspecies of the cottonmouth (Agkistrodon piscivorus).,The western cottonmouth (Agkistrodon piscivorus leucostoma) was once classified as a subspecies of the cottonmouth (Agkistrodon piscivorus).,0,Western cottonmouth,String,Needs_revision,"The evidence states the western cottonmouth was classified as a subspecies of 'the cottonmouth (Agkistrodon piscivorus)', not just 'Agkistrodon piscivorus'. The shortest exact phrase answering 'closest upper taxonomy' is 'cottonmouth (Agkistrodon piscivorus)'.",deepseek-chat
infoseek_val_00015670,Aglais io,https://en.wikipedia.org/wiki/Aglais_io,What is the closest upper taxonomy of this insect?,oven_04968506,What is the closest upper taxonomic rank of this insect?,genus Inachis,"It was formerly classified as the only member of the genus Inachis (the name is derived from Greek mythology, meaning Io, the daughter of Inachus).","It was formerly classified as the only member of the genus Inachis (the name is derived from Greek mythology, meaning Io, the daughter of Inachus).",0|12,Aglais io|External links,String,Needs_revision,"The evidence supports 'genus Inachis' as the closest upper taxonomic rank, not just 'Inachis'. The answer must be the shortest exact phrase from evidence that answers the question. The evidence was trimmed to the relevant supporting snippet.",deepseek-chat
infoseek_val_00009935,Agrasen Ki Baoli,https://en.wikipedia.org/wiki/Agrasen_Ki_Baoli,Which city or region does this place locate in?,oven_04954244,In which district is this place located?,New Delhi,"Agrasen Ki Baoli (also known as Ugrasen Ki Baoli; transl. Baoli of Agrasen) is a 60-meter long and 15-meter wide historical step well in New Delhi, India.","Agrasen Ki Baoli (also known as Ugrasen Ki Baoli; transl. Baoli of Agrasen) is a 60-meter long and 15-meter wide historical step well in New Delhi, India.",0|7,Agrasen Ki Baoli|References,String,Needs_revision,"The evidence states the place is 'in New Delhi, India' but does not specify 'New Delhi district'. The shortest exact phrase answering the district question is 'New Delhi'. The second evidence snippet 'Agrasen Ki Baoli, New Delhi' is redundant and less informative, so only the first is retained.",deepseek-chat
