data_id,wikipedia_title,wikipedia_url,question_type,encyclopedic_vqa_split,dataset_image_ids,question_before_review,question,answer,evidence,evidence_section_id,evidence_section_title,final_check_reason,dataset_name
E-VQA_48,Agriphila straminella,https://en.wikipedia.org/wiki/Agriphila_straminella,templated,test,2764632,In which country or region does this insect live?,In which region does this insect live?,"Europe, Palearctic",found in Europe and east across the Palearctic,0,Agriphila straminella|Agriphila straminella|Agriphila straminella,"The question is clear, concise, and does not leak the answer. It directly asks about the region where the insect lives, which aligns with the evidence provided and the expected answer.",inaturalist
E-VQA_49,Agriphila straminella,https://en.wikipedia.org/wiki/Agriphila_straminella,templated,test,2778006,Where is this insect native?,Where is this insect naturally found?,"Europe, Palearctic",found in Europe and east across the Palearctic,0,Agriphila straminella|Agriphila straminella|Agriphila straminella,"The question 'Which continent and biogeographic region is this insect native to?' directly specifies the answer format ('continent and biogeographic region'), which matches the expected answer structure 'Europe, Palearctic'. This leaks that the answer consists of exactly two components in that specific order, making it too leading.",inaturalist
E-VQA_50,Agriphila straminella,https://en.wikipedia.org/wiki/Agriphila_straminella,templated,test,2711177,Which period of the year is this insect active?,Which period of the year is this insect typically active?,June to September,The moth flies from June to September depending on the location,0,Agriphila straminella|Agriphila straminella|Agriphila straminella,"The question is clear, does not leak the answer, and directly targets the evidence which supports the expected answer.",inaturalist
E-VQA_51,Alaus oculatus,https://en.wikipedia.org/wiki/Alaus_oculatus,templated,test,2732277,Where is the nest of this insect?,Where does this insect build its nest?,"soil, standing deadwood",Eggs are laid in soil or on standing deadwood,2,Life cycle|Life cycle|Life cycle,"The question 'In what type of habitat is the nest of this insect found?' contains the phrase 'type of habitat', which directly mirrors the expected answer categories 'soil' and 'standing deadwood' (both habitat types). This creates a strong semantic overlap that could lead the model to the answer without properly consulting the evidence.",inaturalist
E-VQA_52,Carpocoris mediterraneus,https://en.wikipedia.org/wiki/Carpocoris_mediterraneus,templated,test,2786362,In which country or region does this insect live?,In which region does this insect live?,Mediterranean region,"This species is widespread throughout the Mediterranean region (Corsica, Greece, Italy, Morocco, Sardinia, Sicily).",2,Distribution|Distribution|Distribution,"The question is clear, concise, and does not leak the answer. It directly asks about the region where the insect lives, which aligns with the evidence that states 'widespread throughout the Mediterranean region'.",inaturalist
E-VQA_53,Charadra dispulsa,https://en.wikipedia.org/wiki/Charadra_dispulsa,templated,test,2701560,In which country or region does this insect live?,In which U.S. state and country does this insect live?,"Texas, Mexico","Its range spans from Texas southward and westward to at least San Luis Potosí, Mexico",0,Charadra dispulsa|Charadra dispulsa|Charadra dispulsa,"The question asks for 'country or state' but the evidence provides both a state (Texas) and a country (Mexico), creating ambiguity about which type of answer is expected. The question should be more specific to match the evidence structure.",inaturalist
E-VQA_54,Micrurus tener,https://en.wikipedia.org/wiki/Micrurus_tener,templated,test,2699795,What does this reptile eat?,What does this reptile eat?,"earth snakes, fossorial species","The primary diet of M. tener consists of other snakes, primarily earth snakes, and other small fossorial species",4,Diet|Diet|Diet,skipped_q_clear,inaturalist
E-VQA_55,Sauromalus ater,https://en.wikipedia.org/wiki/Sauromalus_ater,templated,test,2701078,What is the habitat of this reptile?,What is the habitat of this reptile?,desert,These lizards are well adapted to desert conditions,3,Behavior|Behavior|Behavior,skipped_q_clear,inaturalist
E-VQA_56,Sceloporus malachiticus,https://en.wikipedia.org/wiki/Sceloporus_malachiticus,templated,test,2777005,In this part of the world does this animal live?,In which region of the world does this animal live?,Central America.,"green spiny lizard, is a species of small lizard in the Phrynosomatidae family, native to Central America.",0,Sceloporus malachiticus|Sceloporus malachiticus|Sceloporus malachiticus,"The question is clear, does not leak the answer, and directly asks for the region where the animal lives, which can be found in the evidence.",inaturalist
E-VQA_57,Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,templated,test,2706094,In this reptile venomous?,Is this reptile venomous?,No,black snake – is a non-venomous species,0,Pantherophis obsoletus|Pantherophis obsoletus|Pantherophis obsoletus,"QUESTION_USED is clear, unambiguous, and does not leak the answer. The evidence directly supports answering the question with the expected answer. | detected_answer_leak_in_question",inaturalist
E-VQA_58,Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,templated,test,2773669,What does this reptile eat?,What does this reptile eat?,"mice, voles, and rats,","Though they will often consume mice, voles, and rats",6,Feeding|Feeding|Feeding,skipped_q_clear,inaturalist
E-VQA_59,Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,templated,test,2708751,In this part of the world does this animal live?,In which region does this animal live?,central North America,black snake – is a non-venomous species of Colubridae found in central North America,0,Pantherophis obsoletus|Pantherophis obsoletus|Pantherophis obsoletus,"The question 'In which region of North America does this animal live?' contains the phrase 'North America', which appears verbatim in the expected answer 'central North America'. This leaks part of the answer, as the model could infer the answer must contain 'North America'.",inaturalist
E-VQA_60,Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,templated,test,2707766,How large does this animal become typically?,What is the typical size range for this animal?,106.5–183 cm,"Adults of Pantherophis obsoletus can become quite large, with a reported typical total length (including tail) of 106.5–183 cm (3 ft 6 in – 6 ft 0 in)",3,Description|Description|Description,"The question 'What is the typical body length of this animal?' directly contains the phrase 'body length', which appears verbatim in the evidence as 'total length (including tail)'. This could allow a model to match the phrase without understanding, potentially leaking the answer context.",inaturalist
E-VQA_61,Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,templated,test,2701566,What is the habitat of this reptile?,What is the habitat of this reptile?,"bayou, prairie, rock outcrops, wooded areas","They have adapted to a variety of habitats, including bayou, prairie, and rock outcrops, but they seem to have a particular preference for wooded areas, especially oak trees",2,Habitat|Habitat|Habitat,skipped_q_clear,inaturalist
E-VQA_62,Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,templated,test,2701898,When is the mating period?,When does reproduction typically occur?,May and June,Mating takes place in late May and early June,7,Reproduction|Reproduction|Reproduction,"The question 'When is the mating period in the context of the given image?' contains the phrase 'mating period' which appears verbatim in the evidence 'Mating takes place in late May and early June', potentially allowing a model to directly match the phrase without understanding the temporal aspect.",inaturalist
E-VQA_63,Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,templated,test,2708751,How many egg does this reptile typically lay?,How many eggs does this reptile typically lay?,12 to 20 eggs,the female lays about 12 to 20 eggs,7,Reproduction|Reproduction|Reproduction,"The question 'How many eggs does this reptile typically lay in a single clutch?' contains the phrase 'in a single clutch', which directly mirrors the evidence phrase 'lays about 12 to 20 eggs' (where 'lays' implies 'in a single clutch'). This creates a near-verbatim match that could leak the answer by overly constraining the evidence retrieval.",inaturalist
E-VQA_64,Pantherophis obsoletus,https://en.wikipedia.org/wiki/Pantherophis_obsoletus,templated,test,2687959,How old does this reptile become?,How long can this reptile live?,15 years,this species may be expected to live 15 years in captivity,9,In captivity|In captivity|In captivity,"The question 'What is the maximum lifespan of this reptile?' contains the phrase 'maximum lifespan', which is a near-verbatim match to the evidence phrase 'may be expected to live', making it too leading and potentially leaking the answer type.",inaturalist
E-VQA_65,Tiliqua scincoides,https://en.wikipedia.org/wiki/Tiliqua_scincoides,templated,test,2779800,What does this reptile eat?,What does this reptile eat?,slugs and snails,"The lizard is considered beneficial in these areas, with its appetite for garden pests such as slugs and snails.",2,Description|Description|Description,skipped_q_clear,inaturalist
E-VQA_66,Cordylus niger,https://en.wikipedia.org/wiki/Cordylus_niger,templated,test,2737365,In this part of the world does this animal live?,In which part of the world does this animal live?,South Africa,"Black girdled lizards inhabit rocky outcrops on Table Mountain, South Africa",0,Cordylus niger|Cordylus niger|Cordylus niger,"The question asks about 'country' but the evidence specifies a location within a country ('Table Mountain, South Africa'). The question could be ambiguous if the evidence only mentioned a region or city without explicitly stating the country.",inaturalist
E-VQA_67,Cordylus niger,https://en.wikipedia.org/wiki/Cordylus_niger,templated,test,2782296,What is the habitat of this reptile?,What is the habitat of this reptile?,rocky outcrops,Black girdled lizards inhabit rocky outcrops on Table Mountain,0,Cordylus niger|Cordylus niger|Cordylus niger,skipped_q_clear,inaturalist
E-VQA_68,Carphophis amoenus,https://en.wikipedia.org/wiki/Carphophis_amoenus,templated,test,2768635,In this reptile venomous?,Is this reptile venomous?,no,"worm snake, is a species of nonvenomous colubrid",0,Carphophis amoenus|Carphophis amoenus|Carphophis amoenus,"The question clearly asks about venomous properties, the evidence directly states 'nonvenomous', and the answer 'no' is not leaked in the question. | detected_answer_leak_in_question",inaturalist
E-VQA_69,Carphophis amoenus,https://en.wikipedia.org/wiki/Carphophis_amoenus,templated,test,2701463,What does this reptile eat?,What does this reptile eat?,"earthworm, slugs, salamanders","C. a. amoenus is almost exclusively an earthworm predator, but has also been known to consume other prey, from slugs to small salamanders",2,General description and taxonomy|General description and taxonomy|General description and taxonomy,skipped_q_clear,inaturalist
