wikipedia_title,wikipedia_url,question_original,question,question_type,answer,evidence,evidence_section_id,evidence_section_title,dataset_name,dataset_category_id,wikipedia_url_used_in_train,encyclopedic_vqa_split,dataset_image_ids,data_id
Necromanteion of Acheron,https://en.wikipedia.org/wiki/Necromanteion_of_Acheron,Which culture is associated with this place?,Which culture is associated with this place?,String,Ancient Greece,0,0,0,infoseek,0,0,0,oven_04955301,infoseek_val_00000986
"Savannah Historic District (Savannah, Georgia)","https://en.wikipedia.org/wiki/Savannah_Historic_District_(Savannah,_Georgia)",What country does this place belong to?,What country does this place belong to?,String,United States of America,0,0,0,infoseek,0,0,0,oven_04958069,infoseek_val_00000995
Minar-e-Pakistan,https://en.wikipedia.org/wiki/Minar-e-Pakistan,What country does this place belong to?,What country does this place belong to?,String,Pakistan,0,0,0,infoseek,0,0,0,oven_04951999,infoseek_val_00001015
Packera obovata,https://en.wikipedia.org/wiki/Packera_obovata,What is the closest upper taxonomy of this plant?,What is the closest upper taxonomy of this plant?,String,Packera,0,0,0,infoseek,0,0,0,oven_04968454,infoseek_val_00001037
Pangong Tso,https://en.wikipedia.org/wiki/Pangong_Tso,What country does this lake belong to?,What country does this lake belong to?,String,India,0,0,0,infoseek,0,0,0,oven_04951345,infoseek_val_00001040
Lake Suwa,https://en.wikipedia.org/wiki/Lake_Suwa,Which city or region does this lake locate in?,Which city or region does this lake locate in?,String,Nagano Prefecture,0,0,0,infoseek,0,0,0,oven_04951915,infoseek_val_00001063
Camden Lock,https://en.wikipedia.org/wiki/Camden_Lock,Which city or region does this place locate in?,Which city or region does this place locate in?,String,London Borough of Camden,0,0,0,infoseek,0,0,0,oven_04951404,infoseek_val_00001068
Great spotted woodpecker,https://en.wikipedia.org/wiki/Great_spotted_woodpecker,How heavy does this bird typically grow up to in terms of gram?,How heavy does this bird typically grow up to in terms of gram?,Numerical,89,0,0,0,infoseek,0,0,0,oven_04969263,infoseek_val_00001125
Stonehenge,https://en.wikipedia.org/wiki/Stonehenge,Who is the owner of this building?,Who is the owner of this building?,String,National Trust,0,0,0,infoseek,0,0,0,oven_04954736,infoseek_val_00001145
Erebuni Fortress,https://en.wikipedia.org/wiki/Erebuni_Fortress,What country does this building belong to?,What country does this building belong to?,String,Armenia,0,0,0,infoseek,0,0,0,oven_04951248,infoseek_val_00001286
Loch Ard Gorge,https://en.wikipedia.org/wiki/Loch_Ard_Gorge,Which city or region does this place locate in?,Which city or region does this place locate in?,String,Victoria,0,0,0,infoseek,0,0,0,oven_04952536,infoseek_val_00001317
Venta Rapid,https://en.wikipedia.org/wiki/Venta_Rapid,Which city or region does this place locate in?,Which city or region does this place locate in?,String,Kuldīga,0,0,0,infoseek,0,0,0,oven_04956529,infoseek_val_00001323
Libocedrus bidwillii,https://en.wikipedia.org/wiki/Libocedrus_bidwillii,"What is the conservation status of this plant? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)","What is the conservation status of this plant? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)",String,Near Threatened,0,0,0,infoseek,0,0,0,oven_05004965,infoseek_val_00001354
Canadian National Vimy Memorial,https://en.wikipedia.org/wiki/Canadian_National_Vimy_Memorial,Who was this building unveiled by?,Who was this building unveiled by?,String,Edward VIII,0,0,0,infoseek,0,0,0,oven_04951799,infoseek_val_00001385
Ingleborough,https://en.wikipedia.org/wiki/Ingleborough,Which city or region does this mountain locate in?,Which city or region does this mountain locate in?,String,Ingleton|Clapham cum Newby,0,0,0,infoseek,0,0,0,oven_04954684,infoseek_val_00001398
Eriophyllum lanatum,https://en.wikipedia.org/wiki/Eriophyllum_lanatum,What is the closest parent taxonomy of this plant?,What is the closest parent taxonomy of this plant?,String,Eriophyllum,0,0,0,infoseek,0,0,0,oven_04969555,infoseek_val_00001415
Serra da Estrela,https://en.wikipedia.org/wiki/Serra_da_Estrela,How wide is the mountain in the image? answer in kilometre,How wide is the mountain in the image? answer in kilometre,Numerical,30,0,0,0,infoseek,0,0,0,oven_04958200,infoseek_val_00001459
Great kiskadee,https://en.wikipedia.org/wiki/Great_kiskadee,What is the length of the incubation period (in day) of this bird's egg?,What is the length of the incubation period (in day) of this bird's egg?,Numerical,16,0,0,0,infoseek,0,0,0,oven_04963595,infoseek_val_00001473
Bothrops asper,https://en.wikipedia.org/wiki/Bothrops_asper,What is the closest upper taxonomy of this animal?,What is the closest upper taxonomy of this animal?,String,Bothrops,0,0,0,infoseek,0,0,0,oven_04961950,infoseek_val_00001488
Sydney Town Hall,https://en.wikipedia.org/wiki/Sydney_Town_Hall,Who is the owner of this building?,Who is the owner of this building?,String,City of Sydney,0,0,0,infoseek,0,0,0,oven_04953350,infoseek_val_00001521
Palace of Westminster,https://en.wikipedia.org/wiki/Palace_of_Westminster,What is the architectural style of this building?,What is the architectural style of this building?,String,Perpendicular Gothic|English Gothic architecture|Gothic Revival,0,0,0,infoseek,0,0,0,oven_04954187,infoseek_val_00001524
Transamerica Pyramid,https://en.wikipedia.org/wiki/Transamerica_Pyramid,In which year did this building officially open?,In which year did this building officially open?,Time,1972,0,0,0,infoseek,0,0,0,oven_04956917,infoseek_val_00001566
Ludwigia octovalvis,https://en.wikipedia.org/wiki/Ludwigia_octovalvis,"What is the conservation status of this plant? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)","What is the conservation status of this plant? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)",String,Least Concern,0,0,0,infoseek,0,0,0,oven_04966473,infoseek_val_00001571
Yellow-billed magpie,https://en.wikipedia.org/wiki/Yellow-billed_magpie,What is the litter size of this bird?,What is the litter size of this bird?,Numerical,6.3,0,0,0,infoseek,0,0,0,oven_04962279,infoseek_val_00001648
Plansee,https://en.wikipedia.org/wiki/Plansee,How many metre is the vertical depth of the lake?,How many metre is the vertical depth of the lake?,Numerical,78,0,0,0,infoseek,0,0,0,oven_04955242,infoseek_val_00001675
Molokini,https://en.wikipedia.org/wiki/Molokini,Which city or region does this place locate in?,Which city or region does this place locate in?,String,Maui County,0,0,0,infoseek,0,0,0,oven_04955281,infoseek_val_00001699
Picea sitchensis,https://en.wikipedia.org/wiki/Picea_sitchensis,where is this plant originally invented or found?,where is this plant originally invented or found?,String,West Coast of the United States,0,0,0,infoseek,0,0,0,oven_04971045,infoseek_val_00001776
Ministry of Foreign Affairs of Russia main building,https://en.wikipedia.org/wiki/Ministry_of_Foreign_Affairs_of_Russia_main_building,How many elevators does this have?,How many elevators does this have?,Numerical,28,0,0,0,infoseek,0,0,0,oven_04957766,infoseek_val_00001785
Buddleja davidii,https://en.wikipedia.org/wiki/Buddleja_davidii,What is the closest upper taxonomy of this plant?,What is the closest upper taxonomy of this plant?,String,Buddleja,0,0,0,infoseek,0,0,0,oven_04963435,infoseek_val_00001809
Chevrolet Malibu,https://en.wikipedia.org/wiki/Chevrolet_Malibu,Which company manufactures this vehicle?,Which company manufactures this vehicle?,String,General Motors,0,0,0,infoseek,0,0,0,oven_04950650,infoseek_val_00001811
Boeing 707,https://en.wikipedia.org/wiki/Boeing_707,What is the total quantity of produced items for this type of aircraft?,What is the total quantity of produced items for this type of aircraft?,Numerical,1010,0,0,0,infoseek,0,0,0,oven_00000238,infoseek_val_00001819
Schiefe Ebene,https://en.wikipedia.org/wiki/Schiefe_Ebene,Which city or region does this building locate in?,Which city or region does this building locate in?,String,Neuenmarkt|Kulmbach,0,0,0,infoseek,0,0,0,oven_04958252,infoseek_val_00001837
Het Steen,https://en.wikipedia.org/wiki/Het_Steen,Which city or region does this building locate in?,Which city or region does this building locate in?,String,Antwerp,0,0,0,infoseek,0,0,0,oven_04952113,infoseek_val_00001870
George Washington Bridge,https://en.wikipedia.org/wiki/George_Washington_Bridge,What country does this bridge belong to?,What country does this bridge belong to?,String,United States of America,0,0,0,infoseek,0,0,0,oven_04954126,infoseek_val_00001880
Sidalcea oregana,https://en.wikipedia.org/wiki/Sidalcea_oregana,What is the closest upper taxonomy of this plant?,What is the closest upper taxonomy of this plant?,String,Sidalcea,0,0,0,infoseek,0,0,0,oven_04965128,infoseek_val_00001888
Ipomopsis aggregata,https://en.wikipedia.org/wiki/Ipomopsis_aggregata,What is the basionym of this plant?,What is the basionym of this plant?,String,Cantua aggregata,0,0,0,infoseek,0,0,0,oven_04971399,infoseek_val_00001890
Church of St. John the Baptist (Nizhny Novgorod),https://en.wikipedia.org/wiki/Church_of_St._John_the_Baptist_(Nizhny_Novgorod),Which city or region does this building locate in?,Which city or region does this building locate in?,String,Nizhny Novgorod,0,0,0,infoseek,0,0,0,oven_04950908,infoseek_val_00001910
Metropol Parasol,https://en.wikipedia.org/wiki/Metropol_Parasol,Which city or region does this place locate in?,Which city or region does this place locate in?,String,Seville,0,0,0,infoseek,0,0,0,oven_04957647,infoseek_val_00001945
Immaculate Conception Parish Church (Balayan),https://en.wikipedia.org/wiki/Immaculate_Conception_Parish_Church_(Balayan),Which city or region does this building locate in?,Which city or region does this building locate in?,String,Balayan,0,0,0,infoseek,0,0,0,oven_04952333,infoseek_val_00001980
Kea,https://en.wikipedia.org/wiki/Kea,What is the weight of a female of this bird in gram?,What is the weight of a female of this bird in gram?,Numerical,779,0,0,0,infoseek,0,0,0,oven_04971095,infoseek_val_00001981
Sympetrum illotum,https://en.wikipedia.org/wiki/Sympetrum_illotum,What is the closest parent taxonomy of this insect?,What is the closest parent taxonomy of this insect?,String,Sympetrum,0,0,0,infoseek,0,0,0,oven_04965746,infoseek_val_00002065
Juscelino Kubitschek bridge,https://en.wikipedia.org/wiki/Juscelino_Kubitschek_bridge,In which year did this bridge officially open?,In which year did this bridge officially open?,Time,2002,0,0,0,infoseek,0,0,0,oven_04956869,infoseek_val_00002150
Blue-black grassquit,https://en.wikipedia.org/wiki/Blue-black_grassquit,What is the closest parent taxonomy of this bird?,What is the closest parent taxonomy of this bird?,String,Volatinia,0,0,0,infoseek,0,0,0,oven_04967851,infoseek_val_00002191
Serra da Estrela,https://en.wikipedia.org/wiki/Serra_da_Estrela,What country does this mountain belong to?,What country does this mountain belong to?,String,Portugal,0,0,0,infoseek,0,0,0,oven_04958232,infoseek_val_00002209
Ludlow Castle,https://en.wikipedia.org/wiki/Ludlow_Castle,Which city or region does this building locate in?,Which city or region does this building locate in?,String,Ludlow,0,0,0,infoseek,0,0,0,oven_04953213,infoseek_val_00002223
Shoebill,https://en.wikipedia.org/wiki/Shoebill,What is the closest parent taxonomy of this bird?,What is the closest parent taxonomy of this bird?,String,Balaeniceps,0,0,0,infoseek,0,0,0,oven_04977637,infoseek_val_00002228
Bonnethead,https://en.wikipedia.org/wiki/Bonnethead,"What is the conservation status of this fish? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)","What is the conservation status of this fish? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)",String,Endangered,0,0,0,infoseek,0,0,0,oven_04974791,infoseek_val_00002233
Zentrum Paul Klee,https://en.wikipedia.org/wiki/Zentrum_Paul_Klee,What country does this building belong to?,What country does this building belong to?,String,Switzerland,0,0,0,infoseek,0,0,0,oven_04953166,infoseek_val_00002331
Museum of the City of Skopje,https://en.wikipedia.org/wiki/Museum_of_the_City_of_Skopje,Which city or region does this building locate in?,Which city or region does this building locate in?,String,Skopje,0,0,0,infoseek,0,0,0,oven_04957966,infoseek_val_00002369
Lake Sils,https://en.wikipedia.org/wiki/Lake_Sils,What is the area in square kilometre occupied by this lake?,What is the area in square kilometre occupied by this lake?,Numerical,4.10,0,0,0,infoseek,0,0,0,oven_04953035,infoseek_val_00002370
Kivikko,https://en.wikipedia.org/wiki/Kivikko,What is the location of this place?,What is the location of this place?,String,Mellunkylä,0,0,0,infoseek,0,0,0,oven_04950941,infoseek_val_00002390
Jigsaw puzzle,https://en.wikipedia.org/wiki/Jigsaw_puzzle,Who is the discoverer or inventor of this game?,Who is the discoverer or inventor of this game?,String,John Spilsbury,0,0,0,infoseek,0,0,0,oven_04990585,infoseek_val_00002408
Hengistbury Head,https://en.wikipedia.org/wiki/Hengistbury_Head,Which historic county does this building belong to?,Which historic county does this building belong to?,String,Hampshire,0,0,0,infoseek,0,0,0,oven_04955360,infoseek_val_00002413
Red panda,https://en.wikipedia.org/wiki/Red_panda,"What is the conservation status of this animal? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)","What is the conservation status of this animal? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)",String,Endangered,0,0,0,infoseek,0,0,0,oven_04982054,infoseek_val_00002455
Sloth bear,https://en.wikipedia.org/wiki/Sloth_bear,What is the closest upper taxonomy of this animal?,What is the closest upper taxonomy of this animal?,String,Melursus,0,0,0,infoseek,0,0,0,oven_04980004,infoseek_val_00002489
Shell Centre,https://en.wikipedia.org/wiki/Shell_Centre,What is the height of this building in metre?,What is the height of this building in metre?,Numerical,107,0,0,0,infoseek,0,0,0,oven_04957300,infoseek_val_00002502
Markovi Kuli,https://en.wikipedia.org/wiki/Markovi_Kuli,What country does this place belong to?,What country does this place belong to?,String,North Macedonia,0,0,0,infoseek,0,0,0,oven_04957549,infoseek_val_00002592
Huangshan,https://en.wikipedia.org/wiki/Huangshan,What is the sea level in metre of this mountain?,What is the sea level in metre of this mountain?,Numerical,1864,0,0,0,infoseek,0,0,0,oven_04951847,infoseek_val_00002756
Château de Dampierre,https://en.wikipedia.org/wiki/Ch%C3%A2teau_de_Dampierre,What country does this building belong to?,What country does this building belong to?,String,France,0,0,0,infoseek,0,0,0,oven_04953961,infoseek_val_00002757
Eurasian curlew,https://en.wikipedia.org/wiki/Eurasian_curlew,how many metre is the wingspan of this bird?,how many metre is the wingspan of this bird?,Numerical,0.97,0,0,0,infoseek,0,0,0,oven_04970664,infoseek_val_00002773
Radiology Associates Field at Jackie Robinson Ballpark,https://en.wikipedia.org/wiki/Radiology_Associates_Field_at_Jackie_Robinson_Ballpark,Who occupies this building?,Who occupies this building?,String,Daytona Tortugas,0,0,0,infoseek,0,0,0,oven_04951217,infoseek_val_00002779
Pyatnytska Church (Chernihiv),https://en.wikipedia.org/wiki/Pyatnytska_Church_(Chernihiv),What country does this building belong to?,What country does this building belong to?,String,Ukraine,0,0,0,infoseek,0,0,0,oven_04957131,infoseek_val_00002786
Fort Bourtange,https://en.wikipedia.org/wiki/Fort_Bourtange,In which year was this building first mentioned in writing?,In which year was this building first mentioned in writing?,Time,1593,0,0,0,infoseek,0,0,0,oven_04957179,infoseek_val_00002815
Oudegracht,https://en.wikipedia.org/wiki/Oudegracht,Which city or region does this street locate in?,Which city or region does this street locate in?,String,Utrecht,0,0,0,infoseek,0,0,0,oven_04956271,infoseek_val_00002816
Edificio España,https://en.wikipedia.org/wiki/Edificio_Espa%C3%B1a,What country does this building belong to?,What country does this building belong to?,String,Spain,0,0,0,infoseek,0,0,0,oven_04958418,infoseek_val_00002820
Monserrate,https://en.wikipedia.org/wiki/Monserrate,Which city or region does this mountain locate in?,Which city or region does this mountain locate in?,String,Bogotá,0,0,0,infoseek,0,0,0,oven_04953153,infoseek_val_00002873
Southern white rhinoceros,https://en.wikipedia.org/wiki/Southern_white_rhinoceros,"What is the conservation status of this animal? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)","What is the conservation status of this animal? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)",String,Near Threatened,0,0,0,infoseek,0,0,0,oven_04971501,infoseek_val_00002894
Laurelia novae-zelandiae,https://en.wikipedia.org/wiki/Laurelia_novae-zelandiae,What is the closest upper taxonomy of this plant?,What is the closest upper taxonomy of this plant?,String,Laurelia,0,0,0,infoseek,0,0,0,oven_04962680,infoseek_val_00002915
Ćelije Monastery,https://en.wikipedia.org/wiki/%C4%86elije_Monastery,What country does this building belong to?,What country does this building belong to?,String,Serbia,0,0,0,infoseek,0,0,0,oven_04951596,infoseek_val_00002934
Jackson Ward,https://en.wikipedia.org/wiki/Jackson_Ward,What is the architectural style of this place?,What is the architectural style of this place?,String,Greek Revival architecture,0,0,0,infoseek,0,0,0,oven_04954327,infoseek_val_00002961
Pūriri moth,https://en.wikipedia.org/wiki/Puriri_moth,Which place is this insect endemic to?,Which place is this insect endemic to?,String,New Zealand,0,0,0,infoseek,0,0,0,oven_04962548,infoseek_val_00002977
Steam locomotive,https://en.wikipedia.org/wiki/Steam_locomotive,What is the source of energy of this vehicle?,What is the source of energy of this vehicle?,String,coal,0,0,0,infoseek,0,0,0,oven_04997111,infoseek_val_00002982
Symphyotrichum cordifolium,https://en.wikipedia.org/wiki/Symphyotrichum_cordifolium,What is the closest upper taxonomy of this plant?,What is the closest upper taxonomy of this plant?,String,Symphyotrichum,0,0,0,infoseek,0,0,0,oven_04966968,infoseek_val_00002985
House sparrow,https://en.wikipedia.org/wiki/House_sparrow,"What is the conservation status of this bird? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)","What is the conservation status of this bird? (The status is assigned by the international union for conservation of nature. Choose one among Endangered,Least Concern,Critically Endangered,extinct species,extinct in the wild,Vulnerable,Near Threatened,Data Deficient)",String,Least Concern,0,0,0,infoseek,0,0,0,oven_04968817,infoseek_val_00003013
Grayson Highlands State Park,https://en.wikipedia.org/wiki/Grayson_Highlands_State_Park,What country does this park belong to?,What country does this park belong to?,String,United States of America,0,0,0,infoseek,0,0,0,oven_04952307,infoseek_val_00003027
Banjosa Lake,https://en.wikipedia.org/wiki/Banjosa_Lake,What country does this lake belong to?,What country does this lake belong to?,String,Pakistan,0,0,0,infoseek,0,0,0,oven_04954085,infoseek_val_00003066
